Data Collected Date,Symbol,Company Name,Sector,Share Outstanding,Paid Up Capital,1 Year Price Change,Market Cap,EPS,P/E Ratio,BVPS,P/B,Recent Dividend
6/5/2025,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,"3,671,435","367,143,500.00",5%,"3,829,820,705.90","22.27 (Q3, FY 81/82)",46.84,147.28,9.66,FY 79/80
6/5/2025,ADBL,Agriculture Development Bank Limited,Commercial Banks,"138,552,244","13,855,224,400.00",9%,"39,937,684,333.00","15.4 (Q3, FY 81/82)",18.72,190.25,2.02,FY 80/81
6/5/2025,ADBLD83,10.35% Agricultural Bank Debenture 2083,Corporate Debenture,"2,500,000","2,500,000,000.00",3%,"2,700,000,000.00",-,-,-,-,-
6/5/2025,AHL,Asian Hydropower Limited,Hydro Power,"3,400,000","340,000,000.00",40%,"2,245,360,000.00","-12.02 (Q3, FY 81/82)",-54.94,86.11,11.09,-
6/5/2025,AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power,"38,480,030","3,848,003,000.00",91%,"11,384,316,875.50","11.85 (Q3, FY 81/82)",24.97,109.56,3.04,FY 80/81
6/5/2025,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,Hydro Power,"20,000,000","2,000,000,000.00",2%,"4,113,000,000.00","2.25 (Q3, FY 81/82)",91.4,90.04,2.96,-
6/5/2025,AKPL,Arun Kabeli Power Ltd.,Hydro Power,"38,959,421","3,895,942,100.00",70%,"10,788,642,863.32","1.1 (Q3, FY 81/82)",251.75,96.21,3.14,FY 78/79
6/5/2025,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,"7,330,463","733,046,300.00",-22%,"5,901,315,933.52","11.93 (Q3, FY 81/82)",67.48,153.38,7.05,FY 80/81
6/5/2025,ALICL,Asian Life Insurance Co. Limited,Life Insurance,"48,277,677","4,827,767,700.00",-12%,"24,218,013,890.28","13.13 (Q3, FY 81/82)",38.21,126.46,7.81,FY 79/80
6/5/2025,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,"783,433","78,343,300.00",139%,"4,382,743,563.24","36.53 (Q3, FY 81/82)",153.14,355.3,20.42,FY 80/81
6/5/2025,API,Api Power Company Ltd.,Hydro Power,"60,759,278","6,075,927,800.00",77%,"17,916,695,896.64","7.76 (Q3, FY 81/82)",38,109.85,3.31,FY 80/81
6/5/2025,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microfinance,"2,500,000","250,000,000.00",8%,"2,584,925,000.00","12 (Q3, FY 81/82)",86.16,116.3,12.08,FY 79/80
6/5/2025,BARUN,Barun Hydropower Co. Ltd.,Hydro Power,"10,716,300","1,071,630,000.00",36%,"3,421,500,264.00","0.89 (Q3, FY 81/82)",358.74,112.9,6.32,FY 76/77
6/5/2025,BBC,Bishal Bazar Company Limited,Tradings,"40,100,000","4,010,000,000.00",46%,"222,809,234,000.00","250.25 (Q2, FY 77/78)",22.2,1685.32,3.27,FY 75/76
6/5/2025,BEDC,Bhugol Energy Development Company Limited,Hydro Power,"5,440,534","544,053,400.00",100%,"4,198,242,466.44","-4.79 (Q3, FY 81/82)",-161.1,50.07,20.18,-
6/5/2025,BFC,Best Finance Company Ltd.,Finance,"8,904,242","890,424,200.00",8%,"4,220,254,538.32","-11.26 (Q3, FY 81/82)",-42.09,110.89,6.56,FY 67/68
6/5/2025,BGWT,Bhagawati Hydropower Development Company Ltd.,Hydro Power,"5,949,473","594,947,300.00",-9%,"5,395,815,042.62","9.46 (Q3, FY 81/82)",95.87,116.35,11.49,FY 80/81
6/5/2025,BHDC,Bindyabasini Hydropower Development Company Limited,Hydro Power,"11,340,000","1,134,000,000.00",-27%,"4,849,437,600.00","7.83 (Q3, FY 81/82)",54.62,110.15,6.74,FY 80/81
6/5/2025,BHL,Balephi Hydropower Limited,Hydro Power,"36,559,400","3,655,940,000.00",-38%,"7,659,559,894.00","-11.91 (Q3, FY 81/82)",-17.59,76.45,4.45,-
