Company Symbol,P/E Ratio,BVP
ACLBSL,47.73,147.28
ADBL,20.33,225.64
ADBLD83,0,0
AHL,-51.58,86.11
AHPC,24.89,109.56
AKJCL,94.09,90.04
AKPL,242.91,96.21
ALBSL,70.66,153.38
ALICL,54.63,120.12
ANLB,148.51,355.3
API,38.02,109.85
AVYAN,86.67,116.3
BARUN,45.5,116.5
BBC,0,100
BEDC,-138.41,50.07
BFC,-42.63,110.89
BGWT,96.19,116.35
BHDC,67.69,110.15
BHL,-18.56,76.45
BHPL,470.25,55.29
BNHC,"2,700.53",83.05
BNL,"1,450.30","3,411.78"
BNT,138.12,"3,496.92"
BPCL,100.24,207.6
C30MF,0,0
CBBL,26.31,247.14
CBLD88,0,0
CFCL,212.13,105.7
CGH,101.48,102.49
CHCL,71.47,128.61
CHDC,58.89,171.93
CHL,-50.65,76.94
CIT,103.03,147.45
CITY,-60.17,79.93
CIZBD90,0,0
CKHL,384.72,95.6
CLI,49.37,146.91
CMF2,0,0
CORBL,520.35,144.08
CREST,729.41,102.88
CYCL,59.11,268.51
CZBIL,23.97,152.75
DDBL,26.75,195.51
DHPL,-418.99,4.53
DLBS,295.67,162.57
DOLTI,-175.08,60.96
DORDI,-133.13,91.3
EBL,18.13,235.47
EBLD85,0,0
EBLD91,0,0
EDBL,-847.06,162.4
EHPL,215.04,73.52
ENL,519.71,109.34
FMDBL,108.57,126.72
FOWAD,287.84,253.62
GBBD85,0,0
GBBL,23.17,153.47
GBILD84/85,0,0
GBIME,15.22,173.47
GBLBS,24.63,282.48
GCIL,-31.13,190.8
GFCL,204.62,200.67
GHL,-127.49,96.81
GIBF1,0,0
GILB,40.54,201.66
GLBSL,72.15,146.26
GLH,143.46,108.79
GMFBS,79.5,164.8
GMFIL,112.85,155.5
GMLI,441.8,103.36
GRDBL,297.21,113.73
GSY,0,0
GUFL,-55.79,148.65
GVL,33.33,112.01
GWFD83,0,0
H8020,0,0
HATHY,682.65,78.33
HBL,72.56,171.44
HDHPC,-90.05,75.73
HDL,37.29,128.88
HEI,32.37,201.46
HEIP,0,0
HHL,52.01,77.96
HIDCL,74.8,114.78
HIDCLP,0,0
HLBSL,43.86,159.24
HLI,58.06,116.07
HPPL,73.07,114.71
HRL,74.55,158.13
HURJA,110.51,90.48
ICFC,27.84,171.13
ICFCD83,0,0
ICFCD88,0,0
IGI,45.84,185.3
IHL,-85.78,89.91
ILBS,"4,791.67",137.74
ILI,45.12,132.67
JBBL,35.06,151.9
JBLB,43.34,233.92
JFL,-18.77,39.31
JOSHI,-89.69,68.83
JSLBB,-200.15,144.96
KBL,144.14,134.43
KBLD90,0,0
KBSH,199,137.97
KDBY,0,0
KDL,260.24,103.79
KEF,0,0
KKHC,-30.71,69.96
KMCDB,48.42,176.59
KPCL,44.16,112.84
KSBBL,24.51,163.22
KSBBLP,0,0
KSY,0,0
LBBL,239.34,180.24
LEC,-147.33,72.36
LICN,155.21,189.97
LLBS,70.53,168.21
LSL,24.01,176.16
LUK,0,0
LVF2,0,0
MAKAR,63.2,105.51
MANDU,58.54,146.1
MATRI,-128.78,197.99
MBJC,-527.21,93.66
MBL,17.63,156.23
MBLEF,0,0
MCHL,-12.01,14.32
MDB,58.24,138
MEHL,-145.15,66.37
MEL,-95.34,61.8
MEN,25.99,145.87
MERO,64.2,152.91
MFIL,29.15,170.15
MHCL,88.45,80.43
MHL,77.38,106.64
MHNL,-7.06,25.4
MKCL,346.96,98.75
MKHC,-65.92,61.86
MKHL,915.66,101.74
MKJC,101.41,104.28
MLBBL,47,184.88
MLBL,28.61,163.86
MLBLD89,0,0
MLBS,145.17,122.93
MLBSL,33.62,250.14
MMF1,0,0
MMKJL,226.09,92.02
MNBBL,26.33,158.3
MNMF1,0,0
